,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Devin Booker,SG,PHX,36.7,18.3,53,35.6,47,29.1,6.6,5.0,0.7,1.4,0.5,10.3,18.4,56.0,2.0,316,0.351,6.5,358,0.855,0.4,6.3,3.3,2.1,5.5,26.0,53.0,1835.0,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,4.2,1.9,6.0,0.157,4.5,-0.3,4.2,2.9,77,206,7,1,Pho,G,26.4,34.6,12.0,751,0.554,0.546,27.8,4.5,5.5,1.0,0.3,2.7,32.3,33.3,37.8,10.2,118.8,109.0
1,Damion Lee,SG,PHX,30.9,16.1,74,34.6,53,27.8,4.5,5.5,0.9,0.3,0.7,9.9,20.1,49.4,2.1,247,0.445,5.8,104,0.904,0.9,3.7,2.7,3.0,4.6,30.0,74.0,1506.0,10.7,0.607,0.546,0.23,2.8,14.0,8.3,8.9,1.0,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,77,210,5,10,Pho,G-F,30.5,20.4,14.7,205,0.439,0.564,8.2,3.1,1.3,0.4,0.1,1.1,11.2,9.5,12.6,6.3,114.3,109.9
2,Chris Paul,PG,PHX,29.0,16.0,59,32.0,59,13.9,4.3,8.9,1.5,0.4,0.1,5.0,11.3,44.0,1.7,261,0.375,2.3,160,0.831,0.5,3.8,1.9,2.1,1.4,37.0,59.0,1889.0,17.7,0.555,0.391,0.24,1.6,13.4,7.4,38.7,2.4,1.0,13.4,19.2,3.7,2.5,6.2,0.156,2.0,1.2,3.2,2.5,72,175,17,6,Pho,G,37.9,32.0,14.6,407,0.482,0.513,13.9,4.3,8.9,1.5,0.4,1.9,18.1,22.8,27.0,10.1,121.9,109.6
3,Torrey Craig,SF,PHX,28.7,15.5,79,30.4,67,18.0,10.0,1.7,0.6,0.8,0.5,7.8,13.2,58.9,0.1,254,0.394,2.3,45,0.711,2.6,7.4,1.8,2.8,-0.1,32.0,79.0,1948.0,11.6,0.566,0.506,0.09,8.1,16.3,12.1,7.9,1.3,2.9,12.3,13.0,1.5,2.5,4.0,0.098,-1.3,0.7,-0.6,0.7,79,221,5,12,Pho,F,32.3,24.7,12.7,246,0.52,0.556,7.4,5.4,1.5,0.6,0.8,0.9,12.8,8.9,14.3,6.3,116.3,107.3
4,Terrence Ross,SG,PHX,14.4,7.3,21,24.7,60,7.4,5.4,1.5,0.6,0.7,0.3,2.9,6.3,45.6,1.3,98,0.347,0.4,14,0.857,1.8,3.5,0.9,2.3,-2.2,31.0,21.0,386.0,14.2,0.546,0.59,0.084,3.4,16.7,9.9,15.4,1.3,0.5,3.4,19.7,0.6,0.4,1.0,0.127,0.3,0.2,0.5,0.2,78,206,10,8,Pho,G-F,32.2,18.4,3.5,68,0.544,0.53,9.0,3.3,2.0,0.5,0.1,0.3,12.2,10.9,14.2,8.5,120.3,104.8
5,Jock Landale,C,PHX,13.8,5.9,69,20.2,15,10.3,2.2,4.5,0.7,0.2,0.4,3.9,9.4,41.5,1.4,84,0.25,1.0,105,0.752,0.3,2.0,1.7,1.8,1.5,27.0,69.0,979.0,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.8,-0.4,-1.1,0.2,83,256,1,14,Pho,C,27.5,14.2,14.9,253,0.621,0.559,6.6,4.1,1.0,0.2,0.4,0.9,10.7,7.6,11.7,8.5,119.7,103.1
6,Landry Shamet,SG,PHX,11.0,6.5,40,18.8,26,7.3,3.5,1.4,0.8,0.5,0.3,2.3,5.8,39.1,0.9,200,0.375,1.9,51,0.882,1.5,2.0,0.9,1.6,1.4,25.0,40.0,807.0,10.9,0.535,0.663,0.17,1.5,7.9,4.6,15.7,1.6,0.6,10.0,19.0,0.5,0.7,1.2,0.071,-1.1,-0.3,-1.4,0.1,76,190,4,9,Pho,G,26.1,20.2,10.7,101,0.376,0.5,8.7,1.7,2.3,0.7,0.1,0.9,10.3,11.0,12.7,6.4,110.8,111.1
7,Josh Okogie,SG,PHX,10.2,5.3,72,14.3,14,4.3,4.2,0.9,0.3,1.4,0.2,2.0,3.4,57.8,0.0,197,0.335,0.4,192,0.724,1.5,2.8,0.8,1.9,0.7,24.0,72.0,1350.0,13.3,0.531,0.476,0.464,8.8,11.9,10.3,10.3,2.0,2.3,11.2,17.7,1.1,1.7,2.8,0.101,-0.8,0.5,-0.2,0.6,76,213,4,13,Pho,G,24.6,18.8,13.2,217,0.442,0.471,7.3,3.5,1.5,0.8,0.5,0.9,10.8,8.8,12.3,7.2,113.8,108.4
8,Cameron Payne,PG,PHX,10.2,4.2,48,20.2,9,8.7,1.7,2.3,0.7,0.1,0.4,2.8,7.5,37.5,1.9,185,0.368,1.1,64,0.766,0.3,1.4,0.9,1.5,1.0,28.0,48.0,968.0,13.2,0.512,0.408,0.141,1.3,11.0,6.1,32.6,1.7,0.7,14.4,24.8,0.0,1.0,1.1,0.053,-0.5,-0.7,-1.2,0.2,73,183,7,7,Pho,G,28.7,20.2,15.2,268,0.448,0.49,10.3,2.2,4.5,0.7,0.2,1.7,12.5,14.7,16.9,9.3,106.0,108.4
9,Bismack Biyombo,C,PHX,10.1,4.8,61,14.2,4,6.6,4.1,1.0,0.2,0.4,0.3,2.6,4.9,52.8,0.3,0,0.0,1.1,70,0.357,1.7,2.3,0.9,1.8,2.0,30.0,61.0,874.0,14.4,0.555,0.0,0.34,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,80,255,11,17,Pho,C,30.6,14.3,19.8,206,0.578,0.578,4.3,4.2,0.9,0.3,1.4,0.8,8.6,5.2,9.5,7.1,109.3,101.6
10,Saben Lee,PG,PHX,9.9,4.3,23,20.4,5,8.2,3.1,1.3,0.4,0.1,0.2,2.7,6.1,44.2,1.5,29,0.379,1.3,57,0.737,0.5,2.5,1.1,1.6,1.0,23.0,23.0,363.0,13.1,0.51,0.248,0.487,3.9,10.0,6.9,24.0,2.4,0.2,12.9,19.1,0.3,0.4,0.7,0.093,-2.7,0.9,-1.8,0.0,74,183,2,15,Pho,G,23.8,15.8,15.2,88,0.398,0.44,6.3,2.0,2.8,0.8,0.0,0.9,8.3,9.1,11.1,8.3,112.3,108.4
11,T.J. Warren,SF,PHX,9.9,5.2,16,21.1,9,8.3,2.4,1.5,0.6,0.2,0.2,3.2,7.4,43.0,1.5,19,0.316,0.4,2,0.5,0.3,2.1,0.7,1.5,-1.2,29.0,16.0,197.0,11.6,0.473,0.271,0.029,7.2,20.7,13.8,7.7,1.7,2.3,4.1,16.0,0.0,0.3,0.3,0.08,-2.5,0.6,-1.9,0.0,80,220,7,19,Pho,F,29.6,12.3,4.1,51,0.471,0.471,4.2,3.1,0.7,0.4,0.3,0.2,7.3,4.9,7.9,6.8,108.1,104.5
12,Deandre Ayton,C,PHX,9.4,4.3,67,16.4,0,7.5,2.9,1.0,0.5,0.3,0.2,3.1,6.4,48.9,0.5,24,0.292,0.7,200,0.76,0.6,2.3,0.5,1.5,1.3,24.0,67.0,2035.0,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,3.3,3.0,6.2,0.147,0.9,0.0,0.9,1.5,83,250,4,3,Pho,C,24.7,30.4,11.9,863,0.597,0.592,18.0,10.0,1.7,0.6,0.8,1.8,27.9,19.7,29.6,8.9,118.8,104.7
13,Kevin Durant,SF,PHX,8.6,4.1,8,14.9,1,6.0,1.8,2.6,0.8,0.0,0.5,2.0,4.8,40.5,0.4,41,0.537,1.7,48,0.833,0.5,1.3,1.0,1.3,-1.2,34.0,8.0,269.0,24.3,0.697,0.32,0.375,1.2,20.2,10.5,17.3,0.4,3.3,11.8,26.8,0.8,0.3,1.1,0.196,7.1,0.8,7.9,0.7,82,240,14,2,Pho,F,34.5,33.7,13.5,87,0.586,0.656,26.0,6.4,3.5,0.3,1.3,2.5,32.4,29.5,35.9,9.9,126.5,114.9
14,Darius Bazley,PF,PHX,8.1,4.0,7,14.3,1,5.2,3.2,0.9,0.5,0.8,0.6,1.9,4.3,45.4,0.5,8,0.25,0.9,5,0.4,0.8,2.4,0.7,1.0,-1.6,22.0,7.0,61.0,15.5,0.515,0.32,0.2,8.9,20.4,14.5,14.5,2.4,7.3,15.5,22.5,0.0,0.1,0.1,0.066,-3.4,3.3,-0.1,0.0,80,208,3,20,Pho,F-G,22.8,8.7,16.6,17,0.588,0.52,4.0,2.3,0.9,0.4,0.7,0.7,6.3,4.9,7.1,9.3,100.7,98.3
15,Caris LeVert,SG,CLE,31.9,17.1,74,35.8,68,28.3,4.2,4.4,1.5,0.4,0.8,10.0,20.6,48.4,3.6,324,0.392,4.7,180,0.722,0.9,3.3,2.6,2.5,5.0,28.0,74.0,2237.0,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,78,205,6,5,Cle,G,28.6,30.3,13.5,418,0.462,0.517,12.1,3.8,3.9,1.0,0.3,1.6,15.9,16.0,19.8,7.4,111.6,106.7
16,Darius Garland,PG,CLE,29.2,14.9,69,35.5,69,21.6,2.7,7.8,1.3,0.1,0.8,7.6,16.4,46.2,2.4,412,0.41,4.0,322,0.863,0.4,2.3,2.9,2.1,6.4,23.0,69.0,2447.0,18.8,0.587,0.365,0.284,1.3,7.6,4.5,34.1,1.7,0.3,13.5,26.9,4.5,3.0,7.6,0.148,3.2,-0.7,2.4,2.7,73,192,3,2,Cle,G,23.2,35.5,15.0,717,0.492,0.537,21.6,2.7,7.8,1.2,0.1,2.9,24.3,29.4,32.1,8.7,117.7,109.4
17,Evan Mobley,PF,CLE,28.4,15.7,79,32.6,68,14.3,9.8,1.7,0.8,1.2,0.6,5.9,9.2,64.4,0.0,102,0.216,2.4,303,0.673,3.2,6.5,1.4,2.3,5.2,21.0,79.0,2715.0,17.9,0.589,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4.0,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5,84,215,1,3,Cle,C,21.8,34.4,13.3,847,0.594,0.565,16.2,9.0,2.8,0.8,1.5,1.8,25.2,19.0,28.0,8.6,117.9,104.0
18,Jarrett Allen,C,CLE,27.3,16.1,68,34.4,79,16.2,9.0,2.8,0.8,1.5,0.8,6.6,12.0,55.3,0.3,10,0.1,2.6,221,0.733,2.4,6.6,1.8,2.8,4.3,24.0,68.0,2220.0,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.5,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,83,243,5,4,Cle,C,25.0,32.6,12.9,616,0.653,0.645,14.3,9.8,1.7,0.8,1.2,1.4,24.0,15.9,25.7,7.6,133.1,105.0
19,Donovan Mitchell,SG,CLE,17.1,9.7,68,30.3,30,12.1,3.8,3.9,1.0,0.3,0.5,4.3,10.0,43.1,1.7,635,0.386,1.8,368,0.867,0.7,3.1,1.6,2.3,2.5,26.0,68.0,2432.0,22.9,0.614,0.453,0.262,3.1,10.9,7.0,21.4,2.0,1.0,10.3,32.1,5.4,3.5,8.9,0.176,5.6,0.6,6.3,5.0,73,215,5,1,Cle,G,26.6,35.8,11.4,767,0.566,0.572,28.3,4.3,4.4,1.5,0.4,2.6,32.5,32.7,36.9,9.1,118.7,107.2
20,Cedi Osman,SF,CLE,10.3,5.2,77,20.1,2,8.7,2.3,1.5,0.4,0.2,0.3,3.1,6.9,45.2,1.5,312,0.372,1.0,108,0.694,0.3,2.0,0.7,1.6,2.9,27.0,77.0,1548.0,12.0,0.58,0.589,0.204,1.9,11.5,6.7,10.6,1.1,0.7,8.3,18.2,1.4,1.9,3.3,0.103,-0.8,0.2,-0.7,0.5,79,230,5,6,Cle,F,28.0,20.1,8.9,217,0.567,0.561,8.7,2.3,1.5,0.5,0.1,0.7,11.0,10.2,12.5,6.2,115.5,107.1
21,Isaac Okoro,SF,CLE,10.0,6.0,76,21.7,46,6.4,2.4,1.1,0.7,0.4,0.2,2.3,4.7,49.4,0.8,171,0.363,1.0,103,0.757,0.7,1.8,0.6,2.1,1.7,22.0,76.0,1652.0,10.7,0.614,0.483,0.291,3.7,9.6,6.7,7.0,1.7,1.7,9.5,11.9,1.9,2.3,4.2,0.122,-1.9,1.6,-0.3,0.7,77,225,2,9,Cle,F-G,22.2,21.7,10.6,183,0.617,0.582,6.4,2.5,1.1,0.7,0.4,0.6,8.9,7.6,10.1,4.8,123.7,104.9
22,Ricky Rubio,PG,CLE,9.4,4.4,33,17.2,2,5.2,2.1,3.5,0.8,0.2,0.3,1.8,5.4,34.5,0.6,82,0.256,0.8,35,0.8,0.3,1.8,0.9,1.5,1.4,32.0,33.0,566.0,10.4,0.442,0.461,0.197,1.9,12.7,7.3,27.1,2.3,1.0,13.8,17.7,-0.2,0.9,0.7,0.062,-3.8,1.1,-2.8,-0.1,74,190,11,11,Cle,G,32.5,17.2,14.8,96,0.417,0.402,5.2,2.1,3.5,0.8,0.2,0.9,7.3,8.7,10.8,7.8,103.1,104.0
23,Dean Wade,PF,CLE,9.0,4.2,44,20.3,13,4.7,3.4,0.8,0.6,0.5,0.2,1.7,4.0,41.2,1.0,127,0.354,0.3,23,0.652,0.5,3.0,0.4,2.0,2.5,26.0,44.0,891.0,8.5,0.55,0.718,0.13,2.6,17.2,9.9,5.4,1.6,2.2,8.3,10.2,0.4,1.4,1.8,0.097,-2.9,2.1,-0.7,0.3,81,228,3,13,Cle,F-C,26.4,20.3,8.7,50,0.56,0.54,4.7,3.4,0.8,0.6,0.5,0.4,8.1,5.5,8.9,4.6,113.4,102.7
24,Lamar Stevens,PF,CLE,7.9,4.4,62,18.1,25,5.3,3.4,0.5,0.4,0.3,0.5,2.1,4.6,44.8,0.5,95,0.316,0.6,57,0.702,0.8,2.6,0.4,1.3,0.1,25.0,62.0,1120.0,9.5,0.524,0.33,0.198,5.0,16.7,10.9,4.0,1.2,1.6,7.9,13.6,0.3,1.6,1.9,0.08,-3.0,0.2,-2.8,-0.2,78,230,2,10,Cle,F,25.8,18.1,8.6,193,0.513,0.5,5.3,3.4,0.5,0.4,0.3,0.4,8.6,5.8,9.2,4.6,109.4,106.7
25,Danny Green,SG,CLE,7.7,0.0,8,11.7,0,5.0,1.8,1.0,0.8,0.0,0.0,1.8,4.4,40.9,1.0,29,0.448,0.4,1,1.0,0.0,1.8,0.0,0.6,-1.0,35.0,8.0,95.0,15.8,0.676,0.763,0.026,2.5,9.9,6.2,6.4,2.6,2.9,15.4,21.4,0.1,0.2,0.2,0.114,0.5,0.7,1.2,0.1,78,215,13,8,Cle,G,35.8,11.9,15.4,9,0.667,0.671,6.5,1.3,0.5,0.6,0.4,0.9,7.8,7.0,8.3,5.4,111.6,102.6
26,Sam Merrill,SG,CLE,6.0,4.7,5,12.6,0,5.5,1.3,0.5,0.5,0.3,0.1,2.0,4.5,44.9,1.5,18,0.278,0.1,2,1.0,0.3,1.0,0.9,1.5,-1.5,26.0,5.0,59.0,15.5,0.546,0.818,0.091,0.0,18.0,9.0,12.0,3.4,0.0,0.0,17.5,0.1,0.1,0.2,0.16,-1.2,2.5,1.2,0.0,76,205,2,12,Cle,G,26.9,11.7,0.0,4,1.0,0.523,5.0,1.8,1.0,0.8,0.0,0.0,6.8,6.0,7.8,7.1,121.5,105.7
27,Robin Lopez,C,CLE,5.7,4.1,37,10.5,1,3.3,1.0,1.6,0.4,0.1,0.1,1.2,2.3,51.8,0.3,4,0.5,0.6,18,0.778,0.2,0.8,0.5,1.0,0.2,34.0,37.0,299.0,11.6,0.675,0.053,0.24,9.1,11.0,10.0,9.1,0.3,2.5,23.2,16.2,0.2,0.3,0.6,0.094,-3.4,0.3,-3.0,-0.1,84,281,14,15,Cle,C,35.0,8.1,24.9,71,0.648,0.653,3.0,1.4,0.5,0.1,0.2,0.7,4.4,3.5,4.9,6.3,114.9,100.7
28,Isaiah Mobley,PF,CLE,4.3,4.5,12,7.0,0,2.6,1.7,0.3,0.3,0.3,0.2,1.0,2.3,42.9,0.3,8,0.375,0.3,4,1.0,0.3,1.3,0.1,0.7,2.6,23.0,13.0,84.0,14.1,0.521,0.286,0.143,5.6,22.4,14.0,5.0,2.4,3.3,3.3,16.3,0.1,0.2,0.2,0.135,-2.5,1.1,-1.4,0.0,82,240,0,17,Cle,F,23.5,7.0,3.4,20,0.45,0.482,2.6,1.7,0.3,0.3,0.3,0.1,4.3,2.8,4.5,6.3,114.9,100.9
29,Raul Neto,PG,CLE,4.1,4.3,48,8.1,2,3.0,1.4,0.5,0.1,0.2,0.2,1.3,2.0,64.0,0.1,42,0.286,0.4,34,0.912,0.6,0.8,0.7,1.2,-1.6,30.0,48.0,505.0,12.6,0.628,0.382,0.309,2.3,8.4,5.4,21.0,1.7,0.7,16.1,13.1,0.8,0.6,1.5,0.142,-1.7,1.5,-0.2,0.2,73,180,7,14,Cle,G,30.9,10.5,17.2,68,0.662,0.573,3.3,1.0,1.6,0.4,0.1,0.5,4.2,4.9,5.9,6.6,127.4,105.1
30,Jayson Tatum,PF,BOS,38.9,20.3,74,36.9,74,30.1,8.8,4.6,1.1,0.7,0.8,9.8,21.1,46.6,3.2,686,0.35,7.2,622,0.854,1.1,7.7,2.9,2.2,6.4,24.0,74.0,2732.0,23.7,0.607,0.44,0.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,0.185,4.8,0.7,5.5,5.1,80,210,5,1,Bos,F-G,25.1,36.9,12.0,873,0.558,0.543,30.1,8.8,4.6,1.1,0.7,2.9,38.8,34.7,43.5,11.6,118.6,106.7
31,Jaylen Brown,SF,BOS,29.7,15.4,67,35.9,67,26.6,6.9,3.5,1.1,0.4,1.1,10.1,20.6,49.1,2.4,487,0.335,3.9,344,0.765,1.2,5.7,2.9,2.6,3.8,26.0,67.0,2405.0,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.5,1.6,3.4,5.0,0.1,1.5,-0.2,1.3,2.0,78,223,6,2,Bos,G-F,26.5,35.9,12.5,896,0.576,0.55,26.6,6.9,3.5,1.1,0.4,2.9,33.5,30.1,36.9,9.6,109.8,106.5
32,Al Horford,C,BOS,21.7,11.6,63,30.5,63,9.8,6.2,3.0,0.5,1.0,0.1,3.6,7.6,47.6,2.3,325,0.446,0.2,21,0.714,1.2,5.0,0.6,1.9,4.9,36.0,63.0,1922.0,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,81,240,15,6,Bos,C-F,36.9,30.5,7.2,154,0.539,0.627,9.8,6.2,3.0,0.5,1.0,0.6,16.0,12.8,19.0,7.4,133.4,108.2
33,Sam Hauser,PF,BOS,21.3,10.8,80,23.5,20,8.0,8.3,1.4,0.6,1.4,0.3,3.6,4.9,74.7,0.0,335,0.418,0.7,17,0.706,3.0,5.4,1.0,1.9,4.9,25.0,80.0,1290.0,12.7,0.634,0.846,0.043,3.0,14.1,8.6,7.6,1.1,1.4,6.9,14.7,1.8,1.6,3.4,0.128,0.6,0.4,1.0,1.0,80,215,1,9,Bos,F,25.3,16.1,7.0,61,0.656,0.631,6.4,2.6,0.9,0.4,0.3,0.4,9.0,7.3,9.8,6.1,123.9,107.2
34,Marcus Smart,PG,BOS,20.5,8.7,61,32.1,61,11.5,3.1,6.3,1.5,0.4,0.3,4.1,9.9,41.5,1.9,342,0.336,1.4,118,0.746,0.8,2.4,2.3,2.8,3.9,28.0,61.0,1957.0,12.1,0.538,0.568,0.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,0.092,-1.8,0.8,-1.0,0.5,75,220,8,5,Bos,G,29.1,32.1,19.2,260,0.519,0.511,11.5,3.1,6.3,1.5,0.4,2.3,14.7,17.8,20.9,7.6,110.7,105.8
35,Derrick White,SG,BOS,20.2,13.2,82,28.3,70,12.4,3.6,3.9,0.6,0.9,0.4,4.3,9.2,46.2,1.8,391,0.381,2.0,192,0.875,0.6,2.9,1.2,2.2,6.0,28.0,82.0,2319.0,15.4,0.604,0.516,0.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,0.154,1.1,1.3,2.4,2.6,76,190,5,4,Bos,G,28.8,28.3,11.1,367,0.548,0.56,12.4,3.6,3.9,0.7,0.9,1.2,16.0,16.3,19.9,7.9,124.5,107.8
36,Malcolm Brogdon,PG,BOS,19.9,11.0,67,26.0,0,14.9,4.2,3.7,0.7,0.3,0.7,5.3,10.9,48.4,2.0,297,0.444,2.4,184,0.87,0.6,3.6,1.4,1.6,2.7,30.0,67.0,1744.0,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,0.161,2.3,0.6,2.8,2.1,77,229,6,3,Bos,G,30.3,26.0,11.8,435,0.51,0.574,14.9,4.2,3.7,0.7,0.3,1.5,19.1,18.6,22.8,9.4,122.1,108.4
37,Payton Pritchard,PG,BOS,13.1,6.5,48,25.9,23,8.1,4.6,1.7,0.5,0.4,0.3,2.7,6.0,45.4,1.5,154,0.364,1.2,16,0.75,1.1,3.5,1.0,2.4,2.6,25.0,48.0,643.0,10.3,0.536,0.629,0.065,4.3,10.5,7.5,14.0,1.1,0.1,13.7,19.9,-0.1,0.7,0.6,0.045,-2.1,-1.2,-3.4,-0.2,73,195,2,11,Bos,G,25.2,13.4,14.0,91,0.495,0.527,5.6,1.8,1.3,0.3,0.0,0.8,7.5,7.0,8.8,7.0,104.9,110.2
38,Grant Williams,PF,BOS,9.4,4.8,79,13.9,16,4.1,3.8,1.5,0.3,0.2,0.1,1.5,3.2,48.5,0.6,291,0.395,0.5,122,0.77,1.1,2.6,0.5,1.8,2.5,24.0,79.0,2045.0,10.3,0.605,0.611,0.256,4.7,14.5,9.7,8.4,1.0,1.3,13.4,13.1,1.9,2.6,4.4,0.104,-1.8,0.7,-1.1,0.5,78,236,3,7,Bos,F,24.4,25.9,14.7,185,0.546,0.575,8.1,4.6,1.7,0.5,0.4,1.0,12.7,9.8,14.4,6.2,118.5,105.3
