,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
79,Grayson Allen,SG,MIL,20.5,11.8,72,24.3,19,14.8,4.2,5.0,0.8,0.1,0.6,5.2,12.1,43.0,1.6,366,0.399,2.8,126,0.905,0.9,3.3,2.2,2.1,4.0,27.0,72.0,1972.0,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,76,198,4,6,Mil,G,27.5,27.4,11.4,191,0.518,0.571,10.4,3.3,2.3,0.9,0.2,1.0,13.7,12.7,16.0,6.3,123.5,110.0
80,Pat Connaughton,SG,MIL,15.4,8.2,61,27.0,70,10.3,3.2,2.3,0.9,0.2,0.3,3.4,7.6,44.1,2.0,322,0.339,1.6,41,0.659,0.8,2.4,1.0,1.6,3.1,30.0,61.0,1443.0,10.0,0.531,0.765,0.097,3.8,16.2,10.2,6.9,1.2,0.6,7.0,13.8,0.7,1.8,2.5,0.085,-1.3,0.3,-1.1,0.3,77,209,7,8,Mil,G,30.3,23.7,7.3,99,0.566,0.521,7.6,4.6,1.3,0.6,0.2,0.5,12.3,8.9,13.5,6.0,112.4,109.6
81,Khris Middleton,SF,MIL,12.7,6.6,33,22.5,39,8.1,2.5,2.4,0.8,0.4,0.2,3.0,7.0,42.5,1.8,162,0.315,0.4,102,0.902,0.4,2.1,1.0,1.9,0.9,31.0,33.0,801.0,17.4,0.551,0.399,0.251,3.8,14.0,9.1,30.7,1.4,0.5,13.6,27.4,1.0,1.0,1.9,0.117,1.0,-0.3,0.8,0.6,79,222,10,4,Mil,F,31.7,24.3,14.9,244,0.516,0.499,15.1,4.2,4.9,0.7,0.2,2.2,19.3,20.0,24.2,11.1,113.2,106.1
82,Wesley Matthews,SG,MIL,12.7,4.8,52,18.9,3,6.9,3.8,1.5,0.7,0.3,0.1,2.5,5.2,47.9,1.3,124,0.315,0.6,28,0.857,0.9,2.9,0.4,1.5,0.2,36.0,52.0,820.0,7.0,0.519,0.775,0.175,4.5,9.7,7.2,5.1,1.2,1.3,9.5,9.8,0.3,0.9,1.2,0.073,-3.5,0.8,-2.7,-0.1,76,220,13,19,Mil,G,36.5,15.7,10.1,36,0.528,0.484,3.4,2.2,0.7,0.4,0.3,0.3,5.6,4.1,6.3,4.4,113.1,107.2
83,Goran Dragic,PG,MIL,12.5,6.5,7,22.7,0,6.9,2.8,3.3,0.7,0.1,0.1,2.3,5.4,43.5,1.8,17,0.412,0.4,4,1.0,0.3,2.5,1.2,1.6,1.8,36.0,7.0,83.0,11.4,0.516,0.472,0.111,3.9,10.9,7.5,20.2,1.2,0.0,15.6,22.7,0.0,0.1,0.1,0.037,-2.3,-2.9,-5.2,-0.1,75,190,14,13,Mil,G,36.9,11.8,16.1,19,0.368,0.486,5.6,1.7,1.7,0.3,0.0,1.0,7.3,7.3,9.0,8.6,103.7,113.7
84,Bobby Portis,PF,MIL,12.1,6.5,70,23.3,33,7.6,4.6,1.2,0.6,0.2,0.2,2.7,6.8,39.5,1.8,257,0.37,0.4,125,0.768,0.8,3.8,0.5,1.1,2.4,27.0,70.0,1818.0,17.8,0.575,0.32,0.156,9.2,28.6,19.3,8.7,0.8,0.7,8.6,21.7,2.5,2.8,5.3,0.139,1.2,-0.6,0.7,1.2,82,250,7,5,Mil,F,28.2,26.0,9.2,546,0.555,0.555,14.1,9.6,1.5,0.4,0.2,1.2,23.7,15.6,25.2,9.0,117.3,105.2
85,Lindell Wigginton,PG,MIL,7.6,0.0,7,12.4,1,7.1,1.0,2.0,0.0,0.3,0.3,2.6,5.3,48.6,0.9,18,0.333,1.1,9,0.889,0.0,1.0,1.7,1.0,-5.6,24.0,7.0,87.0,11.8,0.61,0.486,0.243,0.0,8.1,4.2,23.8,0.0,1.9,22.7,25.7,0.0,0.1,0.1,0.028,-3.1,-3.5,-6.7,-0.1,74,189,1,9,Mil,G,25.0,12.4,24.3,19,0.632,0.568,7.1,1.0,2.0,0.0,0.3,1.7,8.1,9.1,10.1,7.8,103.9,109.8
86,Joe Ingles,SF,MIL,7.5,4.3,46,15.0,0,6.3,1.4,2.6,0.2,0.1,0.3,2.4,5.8,42.1,0.9,203,0.409,0.5,21,0.857,0.3,1.1,1.1,1.1,0.1,35.0,46.0,1044.0,10.7,0.616,0.819,0.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,1.1,1.2,2.3,0.107,-1.6,0.8,-0.7,0.3,80,220,8,11,Mil,F-G,35.5,22.7,18.1,45,0.556,0.603,6.9,2.8,3.3,0.7,0.1,1.2,9.7,10.2,12.9,7.0,119.6,108.2
87,Meyers Leonard,C,MIL,7.5,4.0,9,12.6,2,4.8,3.8,0.1,0.2,0.0,0.2,1.6,3.2,48.3,0.8,18,0.389,0.9,9,0.889,1.3,2.4,0.7,1.8,-3.0,30.0,9.0,114.0,12.0,0.652,0.621,0.31,11.4,19.4,15.5,1.2,0.8,0.0,15.4,14.4,0.2,0.1,0.3,0.126,-2.8,-2.2,-5.0,-0.1,84,260,9,16,Mil,F-C,31.1,12.6,17.0,11,0.636,0.603,4.8,3.8,0.1,0.2,0.0,0.7,8.6,4.9,8.7,3.9,123.2,99.3
88,MarJon Beauchamp,SF,MIL,5.8,4.4,52,13.6,11,5.2,2.2,0.7,0.4,0.1,0.3,1.9,4.7,39.7,0.9,142,0.331,0.5,37,0.73,0.7,1.5,0.8,1.4,-1.7,22.0,52.0,701.0,8.2,0.513,0.584,0.152,5.9,11.0,8.5,6.7,1.4,0.8,14.8,18.3,-0.4,0.8,0.4,0.027,-4.1,-0.6,-4.8,-0.5,78,199,0,14,Mil,F,22.5,13.5,15.6,101,0.485,0.492,5.1,2.2,0.7,0.4,0.1,0.9,7.3,5.8,8.0,5.9,99.5,105.0
89,Jae Crowder,SF,MIL,5.4,4.2,18,15.6,0,3.5,2.1,0.6,0.4,0.2,0.0,1.1,3.0,36.8,0.8,55,0.436,0.5,12,0.833,0.6,1.5,0.4,1.4,0.8,32.0,18.0,340.0,14.6,0.624,0.585,0.128,5.4,15.3,10.6,10.6,1.7,1.4,6.6,13.2,0.7,0.5,1.2,0.165,0.1,1.1,1.2,0.3,78,235,10,10,Mil,F,32.8,18.9,6.9,39,0.538,0.606,6.9,3.8,1.5,0.7,0.3,0.4,10.7,8.4,12.2,7.2,132.9,105.9
90,Tyrese Maxey,SG,PHI,43.6,23.0,60,34.6,66,33.1,10.2,4.2,1.0,1.7,1.4,11.0,20.1,54.8,1.0,370,0.432,10.0,213,0.845,1.7,8.5,3.4,3.1,6.4,22.0,60.0,2016.0,17.0,0.605,0.404,0.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,3.7,1.6,5.4,0.128,1.9,-1.2,0.7,1.3,6-2,200,2,3,Phi,G,22.4,33.6,8.1,543,0.514,0.568,20.3,2.9,3.5,0.8,0.1,1.3,23.2,23.8,26.8,7.0,120.2,111.8
91,Tobias Harris,PF,PHI,40.0,20.3,74,36.8,58,21.0,6.1,10.7,1.2,0.5,0.9,6.4,14.5,44.0,2.8,324,0.389,5.4,129,0.876,0.7,5.4,3.4,1.9,4.8,30.0,74.0,2436.0,14.8,0.602,0.383,0.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,6-8,226,11,5,Phi,F,30.7,32.9,9.5,521,0.57,0.575,14.7,5.7,2.5,0.9,0.5,1.2,20.4,17.2,22.9,7.2,118.8,110.1
92,Shake Milton,SG,PHI,25.2,0.0,76,28.8,0,20.0,4.0,2.0,1.0,0.0,0.0,8.0,13.0,61.5,4.0,148,0.378,0.0,116,0.853,2.0,2.0,2.0,4.0,2.0,26.0,76.0,1567.0,12.7,0.575,0.294,0.231,3.0,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,0.087,-1.0,-0.9,-2.0,0.0,6-5,205,4,8,Phi,G-F,26.5,20.6,15.7,355,0.521,0.535,8.4,2.5,3.1,0.3,0.2,1.2,10.9,11.5,14.0,7.8,115.3,110.3
93,Joel Embiid,C,PHI,22.8,12.8,66,33.6,41,20.3,2.9,3.5,0.8,0.1,0.6,7.3,15.2,48.1,2.7,200,0.33,3.0,771,0.857,0.4,2.6,1.3,2.2,4.1,28.0,66.0,2284.0,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,7-0,280,6,1,Phi,C-F,29.1,34.6,14.5,1128,0.587,0.573,33.1,10.2,4.2,1.0,1.7,3.4,43.2,37.2,47.4,13.0,124.4,104.1
94,James Harden,PG,PHI,21.8,11.6,58,32.9,74,14.7,5.7,2.5,0.9,0.5,0.7,5.7,11.4,50.1,1.7,419,0.384,1.5,361,0.867,0.9,4.8,1.2,2.0,4.0,33.0,58.0,2135.0,21.6,0.607,0.496,0.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25.0,5.8,2.6,8.4,0.188,5.1,0.3,5.4,4.0,6-5,220,13,2,Phi,G,33.6,36.8,18.8,424,0.495,0.536,21.0,6.1,10.7,1.2,0.5,3.4,27.1,31.6,37.7,12.1,123.3,110.7
95,Jalen McDaniels,SF,PHI,18.2,4.0,24,20.5,0,12.5,5.0,4.5,0.0,0.0,0.5,4.5,10.0,45.0,2.0,30,0.4,1.5,34,0.824,1.5,3.5,1.5,1.5,9.0,25.0,24.0,419.0,12.5,0.58,0.244,0.276,5.5,15.8,10.7,6.5,2.0,1.1,8.6,16.1,0.4,0.5,1.0,0.109,-2.5,-0.1,-2.6,-0.1,6-9,205,3,10,Phi,F-C,25.2,17.5,9.5,93,0.516,0.537,6.7,3.2,0.8,0.7,0.2,0.5,9.8,7.5,10.6,5.9,117.8,102.9
96,Danuel House Jr.,SF,PHI,17.0,8.7,56,27.9,58,10.1,4.1,2.6,1.6,0.5,0.3,3.6,8.5,42.5,2.0,110,0.336,0.9,60,0.75,0.9,3.2,1.3,2.5,1.3,29.0,56.0,807.0,9.4,0.6,0.558,0.305,1.3,12.2,6.9,7.5,0.9,1.0,10.4,13.8,0.6,0.7,1.3,0.075,-2.4,-0.5,-3.0,-0.2,6-6,220,6,12,Phi,F-G,29.8,14.4,11.6,87,0.644,0.566,4.8,1.7,0.8,0.3,0.2,0.5,6.5,5.6,7.3,5.2,115.3,109.2
97,Paul Reed,C,PHI,13.5,6.9,69,23.9,24,9.4,4.3,1.6,1.0,0.4,0.5,3.5,7.7,45.5,1.0,6,0.167,1.5,51,0.745,0.8,3.5,1.2,2.6,-1.9,23.0,69.0,755.0,19.2,0.62,0.029,0.244,17.8,23.1,20.5,5.3,3.0,6.3,16.3,16.4,1.2,1.6,2.8,0.18,-1.6,1.5,-0.1,0.4,6-9,210,2,13,Phi,F,23.8,10.9,17.7,203,0.606,0.596,4.2,3.8,0.4,0.7,0.7,0.7,8.0,4.6,8.3,6.8,124.3,95.2
98,Louis King,SG,PHI,11.9,6.3,1,20.6,11,8.4,2.5,3.1,0.3,0.2,0.5,3.2,6.6,47.9,0.7,8,0.5,1.3,1,0.0,0.5,2.0,1.3,1.6,1.9,23.0,1.0,29.0,21.3,0.744,0.615,0.077,8.3,8.0,8.1,12.2,1.7,0.0,13.0,24.0,0.1,0.0,0.1,0.157,3.3,-1.0,2.3,0.0,6-7,202,5,4,Phi,F,24.0,28.8,13.3,5,0.8,0.769,20.0,4.0,2.0,1.0,0.0,2.0,24.0,22.0,26.0,7.5,125.8,103.2
99,Montrezl Harrell,C,PHI,10.0,6.0,57,19.4,1,8.2,2.4,1.0,0.4,0.2,0.2,2.8,6.4,44.2,2.0,6,0.0,0.5,101,0.693,0.2,2.1,0.7,1.9,1.0,29.0,57.0,681.0,17.6,0.631,0.029,0.483,11.8,15.7,13.8,7.4,1.2,3.4,12.1,18.9,1.3,0.8,2.2,0.153,-0.9,-0.4,-1.3,0.1,6-7,240,7,11,Phi,F-C,29.2,11.9,14.3,203,0.616,0.598,5.6,2.8,0.6,0.3,0.4,0.6,8.4,6.2,9.0,7.1,125.1,105.1
100,Dewayne Dedmon,C,PHI,9.3,5.9,8,10.9,2,4.2,3.8,0.4,0.7,0.7,0.2,1.8,3.0,59.3,0.0,2,0.5,0.6,5,0.2,1.6,2.2,0.7,1.8,-0.2,33.0,8.0,76.0,15.5,0.579,0.091,0.227,9.5,29.0,19.4,19.6,1.3,6.1,19.9,17.7,0.0,0.1,0.2,0.113,-3.5,2.8,-0.7,0.0,7-0,245,9,16,Phi,C,33.7,9.6,21.4,20,0.6,0.614,3.5,3.1,1.3,0.3,0.6,0.8,6.6,4.8,7.9,10.1,111.3,93.7
101,Georges Niang,PF,PHI,8.8,4.9,78,25.6,75,3.5,3.9,0.8,0.5,0.2,0.1,1.3,3.0,42.7,0.7,384,0.401,0.3,45,0.867,1.3,2.7,0.6,2.4,1.8,29.0,78.0,1512.0,10.9,0.61,0.765,0.09,1.5,12.8,7.2,7.3,1.0,0.9,9.4,17.0,1.1,1.4,2.5,0.078,-0.4,-1.0,-1.4,0.2,6-7,230,6,9,Phi,F,29.8,19.4,9.7,118,0.576,0.596,8.2,2.4,1.0,0.4,0.2,0.7,10.5,9.2,11.5,5.6,114.1,107.8
102,Mac McClung,SG,PHI,8.2,4.4,2,11.9,7,5.6,2.8,0.6,0.3,0.4,0.3,2.2,3.7,59.8,0.0,11,0.364,1.2,5,0.6,1.2,1.6,0.6,1.3,0.3,24.0,2.0,41.0,19.2,0.563,0.55,0.25,8.8,19.8,14.4,35.3,0.0,0.0,11.9,27.4,0.1,0.0,0.1,0.14,2.2,-1.7,0.5,0.0,6-2,185,1,6,Phi,G,24.3,20.6,12.9,9,0.556,0.55,12.5,5.0,4.5,0.0,0.0,1.5,17.5,17.0,22.0,12.7,119.3,109.9
103,P.J. Tucker,PF,PHI,8.1,4.0,75,11.2,1,5.2,3.5,0.7,0.2,0.5,0.4,2.0,4.0,51.0,0.3,140,0.393,0.9,23,0.826,0.9,2.6,0.7,2.0,-3.3,37.0,75.0,1920.0,5.7,0.566,0.622,0.102,5.9,12.1,9.1,3.9,1.0,0.7,15.8,6.5,0.9,1.7,2.5,0.064,-3.2,0.1,-3.0,-0.5,6-5,245,11,15,Phi,F,37.9,25.6,16.3,85,0.482,0.549,3.5,3.9,0.8,0.5,0.2,0.6,7.5,4.3,8.3,3.5,118.7,108.1
104,De'Anthony Melton,PG,PHI,5.8,4.4,77,14.4,5,4.8,1.7,0.8,0.3,0.2,0.1,1.7,3.5,47.2,0.7,403,0.39,0.8,87,0.793,0.2,1.5,0.5,1.2,-0.3,24.0,77.0,2150.0,12.7,0.566,0.619,0.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.5,1.1,3.1,4.2,0.095,-0.7,1.6,0.9,1.6,6-2,200,4,7,Phi,G,24.9,27.9,13.5,248,0.484,0.546,10.1,4.1,2.6,1.6,0.5,1.3,14.2,12.7,16.8,6.8,111.7,106.0
105,John Konchar,SG,MEM,33.8,17.1,72,31.9,59,26.2,5.9,8.1,1.1,0.3,1.4,9.3,19.9,46.6,1.5,177,0.339,6.1,36,0.778,1.0,4.9,3.4,1.6,5.0,26.0,72.0,1494.0,10.8,0.542,0.553,0.113,4.5,17.4,11.0,8.2,2.4,1.5,9.9,10.4,1.0,2.5,3.5,0.111,-1.9,2.4,0.5,0.9,77,210,3,13,Mem,G,27.0,20.7,10.4,143,0.545,0.525,5.1,4.3,1.4,1.1,0.3,0.5,9.3,6.4,10.7,6.1,116.8,105.6
106,Dillon Brooks,SF,MEM,27.2,14.6,73,31.8,58,21.5,5.0,4.4,1.0,0.4,1.3,7.8,16.2,47.9,2.9,439,0.326,3.1,154,0.779,0.7,4.3,2.2,2.6,6.1,27.0,73.0,2214.0,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,-0.8,2.4,1.6,0.034,-3.4,-0.5,-3.9,-1.1,79,225,5,4,Mem,G-F,27.2,30.3,9.5,552,0.451,0.468,14.3,3.3,2.6,0.9,0.2,1.4,17.7,16.9,20.3,6.6,102.3,105.5
107,Jaren Jackson Jr.,C,MEM,26.0,15.4,63,28.4,63,18.6,6.8,1.0,1.0,3.0,1.0,6.6,13.0,50.6,1.6,282,0.355,3.8,306,0.788,1.7,5.0,1.7,3.6,5.7,23.0,63.0,1787.0,21.6,0.613,0.343,0.372,6.4,18.8,12.6,5.0,1.7,9.6,10.1,24.7,2.8,3.8,6.6,0.177,0.7,2.0,2.8,2.2,83,242,4,3,Mem,F-C,23.6,28.4,11.5,540,0.585,0.567,18.6,6.8,1.0,1.0,3.0,1.7,25.4,19.6,26.3,7.1,117.8,100.3
108,Ja Morant,PG,MEM,24.1,11.0,61,27.0,42,8.6,11.6,2.3,0.9,1.1,0.3,3.7,6.3,59.7,0.0,300,0.307,1.1,497,0.748,5.1,6.5,1.9,2.3,5.8,23.0,61.0,1948.0,23.3,0.557,0.247,0.409,3.3,16.1,9.7,41.1,1.6,0.7,12.6,34.9,3.4,2.6,6.0,0.148,5.2,0.5,5.7,3.8,75,174,3,1,Mem,G,23.7,31.9,14.5,914,0.519,0.504,26.2,5.9,8.1,1.1,0.3,3.4,32.0,34.2,40.1,13.5,114.2,109.6
109,Tyus Jones,PG,MEM,18.0,10.5,80,24.2,22,10.3,2.5,5.2,1.0,0.1,0.2,3.9,8.9,43.8,1.5,326,0.371,1.0,100,0.8,0.4,2.2,0.9,0.4,1.2,26.0,80.0,1940.0,16.0,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2.0,0.3,8.9,17.7,3.4,2.3,5.7,0.141,1.2,0.3,1.6,1.7,72,196,7,6,Mem,G,26.9,24.2,9.4,384,0.495,0.523,10.3,2.5,5.2,1.0,0.1,0.9,12.8,15.5,18.0,8.5,122.1,114.8
110,Xavier Tillman,PF,MEM,16.7,8.6,61,19.5,8,10.0,5.5,1.3,0.6,0.7,0.3,4.1,6.2,65.6,0.0,15,0.267,1.8,89,0.551,1.6,3.9,1.0,2.3,-0.3,24.0,61.0,1180.0,17.3,0.621,0.049,0.291,10.9,16.7,13.8,10.9,2.3,2.2,11.3,13.7,2.3,1.9,4.2,0.171,0.3,1.7,1.9,1.2,80,245,2,10,Mem,F,24.2,19.3,12.6,291,0.632,0.621,7.0,5.0,1.6,1.0,0.5,0.7,12.1,8.6,13.6,7.9,129.0,105.2
111,Brandon Clarke,PF,MEM,14.8,7.7,56,30.3,73,14.3,3.3,2.6,0.9,0.2,0.5,5.4,13.6,39.6,2.0,6,0.167,1.6,137,0.723,0.6,2.7,1.4,3.3,2.8,26.0,56.0,1090.0,20.0,0.682,0.017,0.393,9.0,21.2,15.1,9.5,1.5,3.1,11.8,17.7,2.7,1.8,4.5,0.199,0.8,1.8,2.5,1.3,80,215,3,7,Mem,F,26.6,19.5,13.6,343,0.665,0.658,10.0,5.5,1.3,0.6,0.7,1.0,15.5,11.3,16.8,8.5,131.0,100.8
112,Luke Kennard,SG,MEM,14.6,9.0,24,19.3,29,7.0,5.0,1.6,1.0,0.5,0.6,3.1,5.0,61.4,0.1,137,0.54,0.8,19,0.947,2.0,3.0,0.7,1.6,0.0,26.0,24.0,590.0,16.0,0.758,0.801,0.111,1.6,11.8,6.7,12.1,1.0,0.2,8.2,13.8,1.7,0.6,2.3,0.189,3.0,-0.2,2.9,0.7,77,206,5,5,Mem,G,26.8,24.6,8.5,34,0.471,0.743,11.3,3.1,2.3,0.5,0.0,0.7,14.5,13.6,16.7,7.0,145.5,110.6
113,David Roddy,PF,MEM,13.9,6.1,70,21.8,20,9.0,4.8,1.3,0.6,0.6,0.3,3.2,6.8,47.0,1.2,212,0.307,1.4,65,0.631,1.1,3.7,0.8,1.9,1.2,21.0,70.0,1258.0,8.8,0.519,0.505,0.155,4.2,12.0,8.1,6.1,1.1,1.4,11.3,16.7,-0.3,1.4,1.1,0.043,-3.2,-0.7,-3.9,-0.6,78,255,0,11,Mem,F,22.0,18.0,11.9,208,0.553,0.506,6.7,2.8,0.8,0.4,0.3,0.8,9.4,7.5,10.3,5.5,103.0,107.7
114,Desmond Bane,SG,MEM,12.9,7.9,58,22.3,14,9.3,2.7,1.5,0.5,0.1,0.2,3.2,6.5,49.2,2.3,407,0.408,0.6,205,0.883,0.3,2.4,0.8,1.4,3.6,24.0,58.0,1841.0,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,77,215,2,2,Mem,G,24.8,31.8,11.8,532,0.534,0.568,21.5,5.0,4.4,1.0,0.4,2.2,26.5,25.9,30.9,9.8,118.8,107.0
115,Santi Aldama,PF,MEM,11.4,5.3,77,20.7,23,5.1,4.3,1.4,1.1,0.3,0.2,1.9,4.4,43.1,0.8,266,0.353,0.4,144,0.75,0.9,3.4,0.5,1.6,2.9,22.0,77.0,1682.0,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,83,224,1,8,Mem,F-C,22.2,21.8,10.3,259,0.591,0.56,9.0,4.8,1.3,0.6,0.6,0.8,13.9,10.3,15.1,7.0,120.0,105.8
116,Steven Adams,C,MEM,7.5,4.9,42,18.0,4,6.7,2.8,0.8,0.4,0.3,0.3,2.6,6.0,42.9,0.9,1,0.0,0.6,129,0.364,0.7,2.0,0.8,1.5,-0.9,29.0,42.0,1133.0,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,83,265,9,9,Mem,C,29.7,27.0,23.1,262,0.599,0.597,8.6,11.5,2.3,0.9,1.1,1.9,20.1,10.9,22.5,9.0,118.1,103.2
117,Jake LaRavia,PF,MEM,6.4,4.0,35,7.3,1,5.0,2.1,0.8,0.2,0.1,0.2,2.0,3.9,52.7,0.3,71,0.338,0.7,9,0.778,0.8,1.3,0.5,1.2,-2.0,21.0,35.0,414.0,6.7,0.531,0.747,0.095,4.9,11.3,8.1,6.2,1.4,0.9,15.4,11.7,0.0,0.5,0.5,0.054,-3.9,0.4,-3.5,-0.2,80,235,0,16,Mem,F,21.4,11.8,15.9,24,0.542,0.516,3.0,1.8,0.6,0.3,0.1,0.5,4.8,3.6,5.4,5.0,105.3,104.0
118,Kenneth Lofton Jr.,PF,MEM,6.0,4.0,24,15.2,4,5.7,2.1,0.9,0.4,0.2,0.1,2.3,5.3,42.9,0.7,17,0.353,0.5,27,0.593,0.4,1.7,1.0,1.6,-2.0,20.0,24.0,176.0,20.2,0.572,0.183,0.29,11.5,19.2,15.4,18.1,1.3,1.0,10.3,27.6,0.3,0.2,0.5,0.145,0.7,-1.1,-0.4,0.1,79,275,0,14,Mem,F,20.7,7.3,11.4,76,0.566,0.559,5.0,2.1,0.8,0.2,0.1,0.5,7.1,5.8,8.0,11.1,116.1,97.3
119,Ziaire Williams,SF,MEM,4.5,4.0,37,11.8,0,3.0,1.8,0.6,0.3,0.1,0.1,1.1,2.7,38.9,0.7,97,0.258,0.2,22,0.773,0.5,1.3,0.5,1.4,-2.2,21.0,37.0,561.0,7.4,0.511,0.495,0.112,3.0,11.9,7.5,8.2,1.2,1.0,15.2,18.0,-0.5,0.6,0.1,0.011,-4.7,-0.8,-5.6,-0.5,80,215,1,12,Mem,F,21.6,15.2,15.9,99,0.596,0.492,5.7,2.1,0.9,0.4,0.2,1.0,7.8,6.6,8.8,5.8,96.5,105.6
